time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-02 00:00:00+00:00,6,3,64,4
2026-03-03 00:00:00+00:00,8,3,9,1
2026-03-04 00:00:00+00:00,0,0,40,5
2026-03-05 00:00:00+00:00,13,8,57,8
2026-03-06 00:00:00+00:00,7,7,14,3
2026-03-07 00:00:00+00:00,1,1,5,2
2026-03-08 00:00:00+00:00,2,2,12,3
2026-03-09 00:00:00+00:00,26,16,68,5
2026-03-10 00:00:00+00:00,1,1,31,5
2026-03-11 00:00:00+00:00,14,8,162,4
2026-03-12 00:00:00+00:00,4,4,7,6
2026-03-13 00:00:00+00:00,8,6,9,4
2026-03-14 00:00:00+00:00,7,4,2,2
2026-03-15 00:00:00+00:00,106,42,149,3
