time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-02 00:00:00+00:00,2,2,1,1
2026-08-03 00:00:00+00:00,0,0,7,7
2026-08-04 00:00:00+00:00,3,3,7,7
2026-08-05 00:00:00+00:00,4,4,0,0
2026-08-06 00:00:00+00:00,0,0,21,2
2026-08-07 00:00:00+00:00,3,3,1,1
2026-08-08 00:00:00+00:00,3,3,13,1
2026-08-09 00:00:00+00:00,1,1,8,2
2026-08-10 00:00:00+00:00,1,1,0,0
2026-08-11 00:00:00+00:00,26,24,2,2
2026-08-12 00:00:00+00:00,3,2,10,3
2026-08-13 00:00:00+00:00,3,2,0,0
2026-08-14 00:00:00+00:00,167,135,1,1
2026-08-15 00:00:00+00:00,661,650,52,2
