time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-24 00:00:00+00:00,2,2,22.0,4.0
2025-04-25 00:00:00+00:00,7,4,27.0,5.0
2025-04-26 00:00:00+00:00,5,4,4.0,3.0
2025-04-27 00:00:00+00:00,7,4,4.0,2.0
2025-04-28 00:00:00+00:00,8,5,10.0,1.0
2025-04-29 00:00:00+00:00,2,2,55.0,6.0
2025-04-30 00:00:00+00:00,5,4,21.0,4.0
2025-05-01 00:00:00+00:00,4,3,,
2025-05-02 00:00:00+00:00,2,2,21.0,3.0
2025-05-03 00:00:00+00:00,3,2,1.0,1.0
2025-05-04 00:00:00+00:00,1,1,3.0,3.0
2025-05-05 00:00:00+00:00,5,2,25.0,3.0
2025-05-06 00:00:00+00:00,2,2,24.0,8.0
2025-05-07 00:00:00+00:00,1,1,1.0,1.0
