time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-02 00:00:00+00:00,6.0,5.0,4,2
2025-09-03 00:00:00+00:00,5.0,4.0,38,1
2025-09-04 00:00:00+00:00,1.0,1.0,3,3
2025-09-05 00:00:00+00:00,1.0,1.0,12,5
2025-09-06 00:00:00+00:00,1.0,1.0,16,8
2025-09-07 00:00:00+00:00,1.0,1.0,5,4
2025-09-08 00:00:00+00:00,9.0,2.0,18,5
2025-09-09 00:00:00+00:00,2.0,2.0,22,4
2025-09-10 00:00:00+00:00,,,25,10
2025-09-11 00:00:00+00:00,4.0,1.0,30,7
2025-09-12 00:00:00+00:00,,,2,2
2025-09-13 00:00:00+00:00,4.0,1.0,27,4
2025-09-14 00:00:00+00:00,9.0,2.0,14,3
2025-09-15 00:00:00+00:00,,,60,4
