time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-28 00:00:00+00:00,16,10,64,7
2025-10-29 00:00:00+00:00,3,3,41,13
2025-10-30 00:00:00+00:00,13,7,86,13
2025-10-31 00:00:00+00:00,6,4,128,14
2025-11-01 00:00:00+00:00,6,6,31,7
2025-11-02 00:00:00+00:00,2,2,33,8
2025-11-03 00:00:00+00:00,15,9,136,19
2025-11-04 00:00:00+00:00,8,7,140,7
2025-11-05 00:00:00+00:00,14,8,64,9
2025-11-06 00:00:00+00:00,7,6,52,11
2025-11-07 00:00:00+00:00,6,6,34,7
2025-11-08 00:00:00+00:00,13,7,21,5
2025-11-09 00:00:00+00:00,33,14,256,10
2025-11-10 00:00:00+00:00,5,5,54,13
