time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-10 00:00:00+00:00,1,1,0,0
2026-08-11 00:00:00+00:00,26,24,2,2
2026-08-12 00:00:00+00:00,3,2,10,3
2026-08-13 00:00:00+00:00,3,2,0,0
2026-08-14 00:00:00+00:00,167,135,1,1
2026-08-15 00:00:00+00:00,661,650,52,2
2026-08-16 00:00:00+00:00,5,4,0,0
2026-08-17 00:00:00+00:00,7,5,1,1
2026-08-18 00:00:00+00:00,4,3,54,1
2026-08-19 00:00:00+00:00,3,2,2,2
2026-08-20 00:00:00+00:00,34,6,5,1
2026-08-21 00:00:00+00:00,7,1,1,1
2026-08-22 00:00:00+00:00,0,0,1,1
2026-08-23 00:00:00+00:00,15,14,1,1
