url_path,views_total,views_unique
/csyhuang/hn2016_falwa,35,17
/csyhuang/hn2016_falwa/tree/master/notebooks,8,3
/csyhuang/hn2016_falwa/pull/140,7,1
/csyhuang/hn2016_falwa/pulls,7,1
/csyhuang/hn2016_falwa/blob/master/notebooks/simple/BarotropicField_example.ipynb,6,2
/csyhuang/hn2016_falwa/blob/master/src/falwa/barotropic_field.py,6,1
/csyhuang/hn2016_falwa/blob/master/src/falwa/basis.py,6,1
/csyhuang/hn2016_falwa/blob/master/src/falwa/oopinterface.py,6,1
/csyhuang/hn2016_falwa/blob/master/notebooks/nh2018_science/demo_script_for_nh2018_with_xarray.ipynb,5,3
/csyhuang/hn2016_falwa/releases/tag/v2.1.0,4,4
