time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-19 00:00:00+00:00,3,3,15,11
2026-01-20 00:00:00+00:00,9,4,13,7
2026-01-21 00:00:00+00:00,5,4,10,9
2026-01-22 00:00:00+00:00,7,4,8,5
2026-01-23 00:00:00+00:00,3,3,17,4
2026-01-24 00:00:00+00:00,8,4,4,2
2026-01-25 00:00:00+00:00,8,3,4,3
2026-01-26 00:00:00+00:00,12,7,7,4
2026-01-27 00:00:00+00:00,7,3,5,4
2026-01-28 00:00:00+00:00,3,2,18,2
2026-01-29 00:00:00+00:00,1,1,4,2
2026-01-30 00:00:00+00:00,1,1,8,4
2026-01-31 00:00:00+00:00,2,2,3,2
2026-02-01 00:00:00+00:00,7,2,2,2
