time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-16 00:00:00+00:00,18,12,33,10
2026-02-17 00:00:00+00:00,7,7,28,5
2026-02-18 00:00:00+00:00,7,4,130,15
2026-02-19 00:00:00+00:00,93,44,244,22
2026-02-20 00:00:00+00:00,3,3,42,10
2026-02-21 00:00:00+00:00,18,9,61,7
2026-02-22 00:00:00+00:00,14,11,128,8
2026-02-23 00:00:00+00:00,5,5,50,6
2026-02-24 00:00:00+00:00,3,3,14,5
2026-02-25 00:00:00+00:00,25,14,34,9
2026-02-26 00:00:00+00:00,49,17,83,7
2026-02-27 00:00:00+00:00,3,3,14,4
2026-02-28 00:00:00+00:00,1,1,3,2
2026-03-01 00:00:00+00:00,7,2,8,4
