referrer,views_total,views_unique
Google,164,10
github.com,82,6
rmets.onlinelibrary.wiley.com,21,5
linkedin.com,14,6
com.linkedin.android,8,7
Bing,6,1
chatgpt.com,3,2
DuckDuckGo,1,1
hn2016-falwa.readthedocs.io,1,1
nature.com,1,1
