time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-29 00:00:00+00:00,3,2,10,2
2025-07-30 00:00:00+00:00,4,4,17,2
2025-07-31 00:00:00+00:00,5,4,5,3
2025-08-01 00:00:00+00:00,2,2,16,5
2025-08-02 00:00:00+00:00,3,3,25,2
2025-08-03 00:00:00+00:00,1,1,11,3
2025-08-04 00:00:00+00:00,1,1,12,5
2025-08-05 00:00:00+00:00,8,7,8,4
2025-08-06 00:00:00+00:00,6,5,9,2
2025-08-07 00:00:00+00:00,7,6,2,1
2025-08-08 00:00:00+00:00,6,6,5,3
2025-08-09 00:00:00+00:00,7,6,8,4
2025-08-10 00:00:00+00:00,4,3,1,1
2025-08-11 00:00:00+00:00,22,18,34,5
