time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-06 00:00:00+00:00,11,6,0,0
2026-07-07 00:00:00+00:00,16,10,1,1
2026-07-08 00:00:00+00:00,12,7,4,2
2026-07-09 00:00:00+00:00,9,3,7,3
2026-07-10 00:00:00+00:00,4,4,21,7
2026-07-11 00:00:00+00:00,7,5,9,5
2026-07-12 00:00:00+00:00,4,3,7,4
2026-07-13 00:00:00+00:00,6,4,1,1
2026-07-14 00:00:00+00:00,2,2,5,4
2026-07-15 00:00:00+00:00,0,0,9,6
2026-07-16 00:00:00+00:00,33,9,0,0
2026-07-17 00:00:00+00:00,1,1,6,5
2026-07-18 00:00:00+00:00,2,2,1,1
2026-07-19 00:00:00+00:00,0,0,1,1
