time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-24 00:00:00+00:00,8.0,6.0,8,2
2025-03-25 00:00:00+00:00,5.0,2.0,14,4
2025-03-26 00:00:00+00:00,5.0,3.0,13,4
2025-03-27 00:00:00+00:00,6.0,3.0,37,5
2025-03-28 00:00:00+00:00,3.0,3.0,34,6
2025-03-29 00:00:00+00:00,8.0,6.0,18,3
2025-03-30 00:00:00+00:00,1.0,1.0,55,6
2025-03-31 00:00:00+00:00,2.0,2.0,62,6
2025-04-01 00:00:00+00:00,38.0,10.0,134,4
2025-04-02 00:00:00+00:00,18.0,4.0,27,3
2025-04-03 00:00:00+00:00,5.0,5.0,12,4
2025-04-04 00:00:00+00:00,3.0,3.0,70,6
2025-04-05 00:00:00+00:00,5.0,5.0,1,1
2025-04-06 00:00:00+00:00,,,19,3
