time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,7,6,7,1
2026-04-07 00:00:00+00:00,9,4,6,4
2026-04-08 00:00:00+00:00,6,3,31,6
2026-04-09 00:00:00+00:00,5,4,54,8
2026-04-10 00:00:00+00:00,2,2,24,5
2026-04-11 00:00:00+00:00,0,0,6,3
2026-04-12 00:00:00+00:00,3,2,8,6
2026-04-13 00:00:00+00:00,6,5,64,6
2026-04-14 00:00:00+00:00,25,7,23,6
2026-04-15 00:00:00+00:00,6,4,20,5
2026-04-16 00:00:00+00:00,1,1,8,3
2026-04-17 00:00:00+00:00,2,1,5,3
2026-04-18 00:00:00+00:00,0,0,6,3
2026-04-19 00:00:00+00:00,6,4,3,3
