time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-15 00:00:00+00:00,10,4,2,2
2026-06-16 00:00:00+00:00,1,1,3,2
2026-06-17 00:00:00+00:00,3,2,1,1
2026-06-18 00:00:00+00:00,1,1,1,1
2026-06-19 00:00:00+00:00,11,4,12,3
2026-06-20 00:00:00+00:00,6,1,0,0
2026-06-21 00:00:00+00:00,8,2,16,1
2026-06-22 00:00:00+00:00,13,4,0,0
2026-06-23 00:00:00+00:00,23,10,1,1
2026-06-24 00:00:00+00:00,9,3,4,4
2026-06-25 00:00:00+00:00,15,12,9,2
2026-06-26 00:00:00+00:00,4,2,28,4
2026-06-27 00:00:00+00:00,6,6,1,1
2026-06-28 00:00:00+00:00,1,1,1,1
