time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-27 00:00:00+00:00,5,5,1,1
2026-07-28 00:00:00+00:00,0,0,2,1
2026-07-29 00:00:00+00:00,2,1,6,4
2026-07-30 00:00:00+00:00,0,0,2,2
2026-07-31 00:00:00+00:00,2,1,1,1
2026-08-01 00:00:00+00:00,7,5,0,0
2026-08-02 00:00:00+00:00,2,2,1,1
2026-08-03 00:00:00+00:00,0,0,7,7
2026-08-04 00:00:00+00:00,3,3,7,7
2026-08-05 00:00:00+00:00,4,4,0,0
2026-08-06 00:00:00+00:00,0,0,21,2
2026-08-07 00:00:00+00:00,3,3,1,1
2026-08-08 00:00:00+00:00,3,3,13,1
2026-08-09 00:00:00+00:00,1,1,8,2
