time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-29 00:00:00+00:00,8,6,18,3
2025-03-30 00:00:00+00:00,1,1,55,6
2025-03-31 00:00:00+00:00,2,2,62,6
2025-04-01 00:00:00+00:00,38,10,134,4
2025-04-02 00:00:00+00:00,18,4,27,3
2025-04-03 00:00:00+00:00,5,5,12,4
2025-04-04 00:00:00+00:00,3,3,70,6
2025-04-05 00:00:00+00:00,5,5,1,1
2025-04-06 00:00:00+00:00,5,2,20,3
2025-04-07 00:00:00+00:00,4,3,38,5
2025-04-08 00:00:00+00:00,4,4,9,7
2025-04-09 00:00:00+00:00,4,4,44,8
2025-04-10 00:00:00+00:00,1,1,14,5
2025-04-11 00:00:00+00:00,1,1,9,4
