time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-07 00:00:00+00:00,3,2,63,10
2025-10-08 00:00:00+00:00,4,2,171,8
2025-10-09 00:00:00+00:00,4,3,23,3
2025-10-10 00:00:00+00:00,6,3,59,3
2025-10-11 00:00:00+00:00,3,2,43,3
2025-10-12 00:00:00+00:00,3,2,9,2
2025-10-13 00:00:00+00:00,7,6,4,2
2025-10-14 00:00:00+00:00,7,5,10,5
2025-10-15 00:00:00+00:00,7,4,17,4
2025-10-16 00:00:00+00:00,3,3,15,3
2025-10-17 00:00:00+00:00,9,4,7,5
2025-10-18 00:00:00+00:00,9,5,6,2
2025-10-19 00:00:00+00:00,6,2,6,1
2025-10-20 00:00:00+00:00,12,5,85,4
