time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-22 00:00:00+00:00,,,10,1
2024-09-23 00:00:00+00:00,1.0,1.0,5,2
2024-09-24 00:00:00+00:00,,,12,2
2024-09-25 00:00:00+00:00,1.0,1.0,50,3
2024-09-26 00:00:00+00:00,,,25,2
2024-09-27 00:00:00+00:00,5.0,2.0,18,4
2024-09-28 00:00:00+00:00,1.0,1.0,1,1
2024-09-29 00:00:00+00:00,1.0,1.0,1,1
2024-09-30 00:00:00+00:00,3.0,1.0,13,2
2024-10-01 00:00:00+00:00,3.0,1.0,8,3
2024-10-03 00:00:00+00:00,6.0,4.0,1,1
2024-10-04 00:00:00+00:00,2.0,2.0,5,1
