referrer,views_total,views_unique
github.com,53,8
Google,52,4
csyhuang.github.io,3,2
zenodo.org,2,2
articlereview.pubmate.in,2,1
journals.ametsoc.org,1,1
hn2016-falwa.readthedocs.io,1,1
mail.yandex.ru,1,1
rmets.onlinelibrary.wiley.com,1,1
