time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-20 00:00:00+00:00,6.0,5.0,32,6
2024-08-21 00:00:00+00:00,2.0,1.0,9,2
2024-08-22 00:00:00+00:00,4.0,3.0,72,4
2024-08-23 00:00:00+00:00,1.0,1.0,1,1
2024-08-24 00:00:00+00:00,4.0,2.0,12,1
2024-08-25 00:00:00+00:00,,,5,3
2024-08-26 00:00:00+00:00,,,2,2
2024-08-27 00:00:00+00:00,3.0,1.0,97,3
2024-08-28 00:00:00+00:00,2.0,2.0,4,2
2024-08-29 00:00:00+00:00,2.0,1.0,3,1
2024-08-30 00:00:00+00:00,15.0,4.0,44,1
2024-08-31 00:00:00+00:00,1.0,1.0,59,1
2024-09-01 00:00:00+00:00,1.0,1.0,8,2
2024-09-02 00:00:00+00:00,2.0,2.0,24,3
