referrer,views_total,views_unique
github.com,235,8
Google,29,6
Bing,14,2
science.org,5,1
zenodo.org,2,1
DuckDuckGo,1,1
csyhuang.github.io,1,1
rmets.onlinelibrary.wiley.com,1,1
