referrer,views_total,views_unique
github.com,24,3
rmets.onlinelibrary.wiley.com,17,2
csyhuang.github.io,13,4
chatgpt.com,10,1
Google,7,5
Bing,6,2
cn.bing.com,2,2
science.org,2,1
journals.ametsoc.org,1,1
ejacket.nsf.gov,1,1
