referrer,views_total,views_unique
github.com,77,8
Google,43,3
DuckDuckGo,18,2
zenodo.org,2,2
rmets.onlinelibrary.wiley.com,2,2
csyhuang.github.io,2,1
mail.yandex.ru,1,1
