time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-09 00:00:00+00:00,2.0,2.0,22,4
2025-09-10 00:00:00+00:00,,,25,10
2025-09-11 00:00:00+00:00,4.0,1.0,30,7
2025-09-12 00:00:00+00:00,,,2,2
2025-09-13 00:00:00+00:00,4.0,1.0,27,4
2025-09-14 00:00:00+00:00,9.0,2.0,14,3
2025-09-15 00:00:00+00:00,6.0,6.0,60,4
2025-09-16 00:00:00+00:00,3.0,2.0,82,6
2025-09-17 00:00:00+00:00,63.0,26.0,81,6
2025-09-18 00:00:00+00:00,10.0,6.0,72,4
2025-09-19 00:00:00+00:00,12.0,6.0,27,5
2025-09-20 00:00:00+00:00,4.0,3.0,15,3
2025-09-21 00:00:00+00:00,4.0,1.0,7,2
2025-09-22 00:00:00+00:00,1.0,1.0,47,7
