time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-18 00:00:00+00:00,27,16,8,5
2026-05-19 00:00:00+00:00,16,6,14,3
2026-05-20 00:00:00+00:00,2,2,13,7
2026-05-21 00:00:00+00:00,3,2,12,4
2026-05-22 00:00:00+00:00,1,1,1,1
2026-05-23 00:00:00+00:00,1,1,57,3
2026-05-24 00:00:00+00:00,3,3,26,2
2026-05-25 00:00:00+00:00,12,6,39,3
2026-05-26 00:00:00+00:00,1,1,70,3
2026-05-27 00:00:00+00:00,6,1,1,1
2026-05-28 00:00:00+00:00,13,10,11,2
2026-05-29 00:00:00+00:00,1,1,2,2
2026-05-30 00:00:00+00:00,15,13,3,3
2026-05-31 00:00:00+00:00,1,1,1,1
