time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,2.0,2.0,4.0,2.0
2024-08-29 00:00:00+00:00,2.0,1.0,3.0,1.0
2024-08-30 00:00:00+00:00,15.0,4.0,44.0,1.0
2024-08-31 00:00:00+00:00,1.0,1.0,59.0,1.0
2024-09-01 00:00:00+00:00,1.0,1.0,8.0,2.0
2024-09-02 00:00:00+00:00,2.0,2.0,24.0,3.0
2024-09-03 00:00:00+00:00,4.0,3.0,7.0,4.0
2024-09-04 00:00:00+00:00,2.0,2.0,,
2024-09-05 00:00:00+00:00,4.0,2.0,45.0,3.0
2024-09-06 00:00:00+00:00,10.0,4.0,1.0,1.0
2024-09-07 00:00:00+00:00,3.0,1.0,2.0,2.0
2024-09-08 00:00:00+00:00,3.0,2.0,,
2024-09-09 00:00:00+00:00,4.0,3.0,23.0,9.0
2024-09-10 00:00:00+00:00,,,16.0,4.0
