time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,18,7,7,2
2026-04-28 00:00:00+00:00,2,1,18,3
2026-04-29 00:00:00+00:00,0,0,3,3
2026-04-30 00:00:00+00:00,9,4,6,6
2026-05-01 00:00:00+00:00,9,3,6,6
2026-05-02 00:00:00+00:00,1,1,7,7
2026-05-03 00:00:00+00:00,5,3,6,6
2026-05-04 00:00:00+00:00,9,4,29,3
2026-05-05 00:00:00+00:00,22,7,16,4
2026-05-06 00:00:00+00:00,4,3,10,3
2026-05-07 00:00:00+00:00,6,4,18,5
2026-05-08 00:00:00+00:00,2,2,14,5
2026-05-09 00:00:00+00:00,0,0,0,0
2026-05-10 00:00:00+00:00,1,1,6,5
