time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-23 00:00:00+00:00,6,2,63,4
2026-03-24 00:00:00+00:00,3,3,103,6
2026-03-25 00:00:00+00:00,7,4,49,6
2026-03-26 00:00:00+00:00,108,46,118,6
2026-03-27 00:00:00+00:00,33,13,59,5
2026-03-28 00:00:00+00:00,5,3,30,6
2026-03-29 00:00:00+00:00,4,3,6,3
2026-03-30 00:00:00+00:00,31,19,84,10
2026-03-31 00:00:00+00:00,5,4,39,5
2026-04-01 00:00:00+00:00,3,3,7,3
2026-04-02 00:00:00+00:00,1,1,14,7
2026-04-03 00:00:00+00:00,6,6,14,5
2026-04-04 00:00:00+00:00,6,5,2,2
2026-04-05 00:00:00+00:00,1,1,22,3
