time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-16 00:00:00+00:00,1,1,23,6
2025-04-17 00:00:00+00:00,1,1,9,5
2025-04-18 00:00:00+00:00,22,2,8,3
2025-04-19 00:00:00+00:00,2,2,2,2
2025-04-20 00:00:00+00:00,6,3,21,2
2025-04-21 00:00:00+00:00,5,2,4,1
2025-04-22 00:00:00+00:00,7,4,5,3
2025-04-23 00:00:00+00:00,2,2,29,3
2025-04-24 00:00:00+00:00,2,2,22,4
2025-04-25 00:00:00+00:00,7,4,27,5
2025-04-26 00:00:00+00:00,5,4,4,3
2025-04-27 00:00:00+00:00,7,4,4,2
2025-04-28 00:00:00+00:00,8,5,10,1
2025-04-29 00:00:00+00:00,1,1,53,6
