time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-14 00:00:00+00:00,7.0,5.0,10,5
2025-10-15 00:00:00+00:00,7.0,4.0,17,4
2025-10-16 00:00:00+00:00,3.0,3.0,15,3
2025-10-17 00:00:00+00:00,9.0,4.0,7,5
2025-10-18 00:00:00+00:00,9.0,5.0,6,2
2025-10-19 00:00:00+00:00,6.0,2.0,6,1
2025-10-20 00:00:00+00:00,15.0,8.0,85,4
2025-10-21 00:00:00+00:00,,,22,2
2025-10-22 00:00:00+00:00,3.0,3.0,23,4
2025-10-23 00:00:00+00:00,15.0,6.0,24,3
2025-10-24 00:00:00+00:00,33.0,6.0,24,3
2025-10-25 00:00:00+00:00,3.0,2.0,18,5
2025-10-26 00:00:00+00:00,3.0,1.0,46,5
2025-10-27 00:00:00+00:00,8.0,5.0,110,10
