time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-22 00:00:00+00:00,2,2,4,3
2025-02-23 00:00:00+00:00,6,3,1,1
2025-02-24 00:00:00+00:00,3,2,30,1
2025-02-25 00:00:00+00:00,4,2,19,4
2025-02-26 00:00:00+00:00,5,3,6,2
2025-02-27 00:00:00+00:00,6,4,9,4
2025-02-28 00:00:00+00:00,1,1,3,2
2025-03-01 00:00:00+00:00,15,4,2,1
2025-03-02 00:00:00+00:00,5,4,1,1
2025-03-03 00:00:00+00:00,6,5,44,3
2025-03-04 00:00:00+00:00,32,10,115,4
2025-03-05 00:00:00+00:00,8,5,30,7
2025-03-06 00:00:00+00:00,5,2,4,1
2025-03-07 00:00:00+00:00,1,1,6,1
