time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-17 00:00:00+00:00,7,5,1,1
2026-08-18 00:00:00+00:00,4,3,54,1
2026-08-19 00:00:00+00:00,3,2,2,2
2026-08-20 00:00:00+00:00,34,6,5,1
2026-08-21 00:00:00+00:00,7,1,1,1
2026-08-22 00:00:00+00:00,0,0,1,1
2026-08-23 00:00:00+00:00,15,14,1,1
2026-08-24 00:00:00+00:00,13,11,1,1
2026-08-25 00:00:00+00:00,17,6,1,1
2026-08-26 00:00:00+00:00,8,4,0,0
2026-08-27 00:00:00+00:00,0,0,16,4
2026-08-28 00:00:00+00:00,2,2,0,0
2026-08-29 00:00:00+00:00,0,0,12,2
2026-08-30 00:00:00+00:00,1,1,0,0
